"","title","author","subject","abstract","date"
"21","inverse resolution of spatially varying diffusion coefficient using physics-informed neural networks","sukirt thakur, ehsan esmaili, sarah libring, luis solorio, arezoo m. ardekani","quantitative methods","resolving the diffusion coefficient is a key element in many biological and engineering systems, including pharmacological drug transport and fluid mechanics analyses. additionally, these systems often have spatial variation in the diffusion coefficient which must be determined, such as for injectable drug-eluting implants into heterogeneous tissues. unfortunately, obtaining the diffusion coefficient from images in such cases is an inverse problem with only discrete data points. the development of a robust method that can work with such noisy and ill-posed datasets to accurately determine spatially-varying diffusion coefficients is of great value across a large range of disciplines. here, we developed an inverse solver that uses physics informed neural networks (pinns) to calculate spatially-varying diffusion coefficients from numerical and experimental image data in varying biological and engineering applications. the residual of the transient diffusion equation for a concentration field is minimized to find the diffusion coefficient. the robustness of the method as an inverse solver was tested using both numerical and experimental datasets. the predictions show good agreement with both the numerical and experimental benchmarks; an error of less than 6.31% was obtained against all numerical benchmarks, while the diffusion coefficient calculated in experimental datasets matches the appropriate ranges of other reported literature values. our work demonstrates the potential of using pinns to resolve spatially-varying diffusion coefficients, which may aid a wide-range of applications, such as enabling better-designed drug-eluting implants for regenerative medicine or oncology fields.",2024-03-06
"22","confidence on the focal: conformal prediction with selection-conditional coverage","ying jin, zhimei ren","methodology","conformal prediction builds marginally valid prediction intervals which cover the unknown outcome of a randomly drawn new test point with a prescribed probability. in practice, a common scenario is that, after seeing the test unit(s), practitioners decide which test unit(s) to focus on in a data-driven manner, and wish to quantify the uncertainty for the focal unit(s). in such cases, marginally valid prediction intervals for these focal units can be misleading due to selection bias. this paper presents a general framework for constructing a prediction set with finite-sample exact coverage conditional on the unit being selected. its general form works for arbitrary selection rules, and generalizes mondrian conformal prediction to multiple test units and non-equivariant classifiers. we then work out computationally efficient implementation of our framework for a number of realistic selection rules, including top-k selection, optimization-based selection, selection based on conformal p-values, and selection based on properties of preliminary conformal prediction sets. the performance of our methods is demonstrated via applications in drug discovery and health risk prediction.",2024-03-06
"23","deepcre: revolutionizing drug r&d with cutting-edge computational models","yushuai wu","artificial intelligence","the fields of pharmaceutical development and therapeutic application both face substantial challenges. the therapeutic domain calls for more treatment alternatives, while numerous promising pre-clinical drugs have failed in clinical trials. one of the reasons is the inadequacy of cross-drug response evaluation (cre) during the late stage of drug development. although in-silico cre models offer a solution to this problem, existing methodologies are either limited to early development stages or lack the capacity for a comprehensive cre analysis. herein, we introduce a novel computational model named deepcre and present the potential of deepcre in advancing therapeutic discovery and development. deepcre outperforms the existing best models by achieving an average performance improvement of 17.7\% in patient-level cre and a 5-fold increase in indication-level cre. furthermore, deepcre has identified six drug candidates that show significantly greater effectiveness than a comparator set of two approved drugs in 5/8 colorectal cancer (crc) organoids. this highlights deepcre's ability to identify a collection of drug candidates with superior therapeutic effects, underscoring its potential to revolutionize the field of therapeutic development.",2024-03-06
"24","sculpting molecules in 3d: a flexible substructure aware framework for text-oriented molecular optimization","kaiwei zhang, yange lin, guangcheng wu, yuxiang ren, xuecang zhang, bo wang, xiaoyu zhang, weitao du","machine learning","the integration of deep learning, particularly ai-generated content, with high-quality data derived from ab initio calculations has emerged as a promising avenue for transforming the landscape of scientific research. however, the challenge of designing molecular drugs or materials that incorporate multi-modality prior knowledge remains a critical and complex undertaking. specifically, achieving a practical molecular design necessitates not only meeting the diversity requirements but also addressing structural and textural constraints with various symmetries outlined by domain experts. in this article, we present an innovative approach to tackle this inverse design problem by formulating it as a multi-modality guidance generation/optimization task. our proposed solution involves a textural-structure alignment symmetric diffusion framework for the implementation of molecular generation/optimization tasks, namely 3dtomolo. 3dtomolo aims to harmonize diverse modalities, aligning them seamlessly to produce molecular structures adhere to specified symmetric structural and textural constraints by experts in the field. experimental trials across three guidance generation settings have shown a superior hit generation performance compared to state-of-the-art methodologies. moreover, 3dtomolo demonstrates the capability to generate novel molecules, incorporating specified target substructures, without the need for prior knowledge. this work not only holds general significance for the advancement of deep learning methodologies but also paves the way for a transformative shift in molecular design strategies. 3dtomolo creates opportunities for a more nuanced and effective exploration of the vast chemical space, opening new frontiers in the development of molecular entities with tailored properties and functionalities.",2024-03-06
"25","curso introductorio de cristales líquidos i: fases y propiedades estructurales (introductory course on liquid crystals i: phases and structural properties)","humberto híjar","soft condensed matter","liquid crystals are the prototype of the so-called soft condensed matter. in simple terms they are ""structured liquids"" that historically have received a lot of interest because they help to generate new concepts and knowledge in physics, and possess important electro--optical applications, e. g., in displays of mobile computers and telephones. more recently, it has been discovered that liquid crystals could be applied in fabrication of metamaterials and in biomedicine where they are potentially useful for tissue identification, controlled drug delivery and detection of bacteria and viruses. however, in mexico, liquid crystals courses are included only in a few undergraduate programs on physics being elective in most of the cases. therefore, literature for teaching about liquid crystals in spanish is scarce. in this paper we will discuss about elementary physics of liquid crystals and the mathematical tools that permit to analyze them. we will explain, mainly, how to analytically characterize the symmetry and order of static uniaxial nematic liquid crystals, the most simple of all liquid crystal phases. we will conduct this explanation in basic terms, suitable for science and engineering students at intermediate undergraduate level, with knowledge about linear algebra and vector calculus, willing to approach for the first time to this subject. our goal is to support the latin american scientific community in preparing human resources in this field. the article is written in spanish to contribute to the establishment and communication of concepts that only exist in other languages in the specialized literature.",2024-03-05
"26","from virtual patients to digital twins in immuno-oncology: lessons learned from mechanistic quantitative systems pharmacology modeling","hanwen wang (1), theinmozhi arulraj (1), alberto ippolito (1), aleksander s. popel (1 and 2) ((1) department of biomedical engineering, johns hopkins university school of medicine, baltimore, md, usa, (2) departments of medicine and oncology, and the sidney kimmel comprehensive cancer center, johns hopkins university school of medicine, baltimore, md, usa)","other quantitative biology","virtual patients and digital patients/twins are two similar concepts gaining increasing attention in health care with goals to accelerate drug development and improve patients' survival, but with their own limitations. although methods have been proposed to generate virtual patient populations using mechanistic models, there are limited number of applications in immuno-oncology research. furthermore, due to the stricter requirements of digital twins, they are often generated in a study-specific manner with models customized to particular clinical settings (e.g., treatment, cancer, and data types). here, we discuss the challenges for virtual patient generation in immuno-oncology with our most recent experiences, initiatives to develop digital twins, and how research on these two concepts can inform each other.",2024-03-05
"27","vqsynery: robust drug synergy prediction with vector quantization mechanism","jiawei wu, mingyuan yan, dianbo liu","quantitative methods","the pursuit of optimizing cancer therapies is significantly advanced by the accurate prediction of drug synergy. traditional methods, such as clinical trials, are reliable yet encumbered by extensive time and financial demands. the emergence of high-throughput screening and computational innovations has heralded a shift towards more efficient methodologies for exploring drug interactions. in this study, we present vqsynergy, a novel framework that employs the vector quantization (vq) mechanism, integrated with gated residuals and a tailored attention mechanism, to enhance the precision and generalizability of drug synergy predictions. our findings demonstrate that vqsynergy surpasses existing models in terms of robustness, particularly under gaussian noise conditions, highlighting its superior performance and utility in the complex and often noisy domain of drug synergy research. this study underscores the potential of vqsynergy in revolutionizing the field through its advanced predictive capabilities, thereby contributing to the optimization of cancer treatment strategies.",2024-03-05
"28","a miniaturized device for ultrafast on-demand drug release based on a gigahertz ultrasonic resonator","yangchao zhou, moonkwang jeong, meng zhang, xuexin duan, tian qiu","robotics","on-demand controlled drug delivery is essential for the treatment of a wide range of chronic diseases. as the drug is released at the time when required, its efficacy is boosted and the side effects are minimized. however, so far, drug delivery devices often rely on the passive diffusion process for a sustained release, which is slow and uncontrollable. here, we present a miniaturized microfluidic device for wirelessly controlled ultrafast active drug delivery, driven by an oscillating solid-liquid interface. the oscillation generates acoustic streaming in the drug reservoir, which opens an elastic valve to deliver the drug. high-speed microscopy reveals the fast response of the valve on the order of 1 ms, which is more than three orders of magnitude faster than the start-of-the-art. the amount of the released drug exhibits a linear relationship with the working time and the electric power applied to the ultrasonic resonator. the trigger of the release is wirelessly controlled via a magnetic field, and the system shows stable output in a continuous experiment for two weeks. the integrated system shows great promise as a long-term controlled drug delivery implant for chronic diseases.",2024-03-05
"29","a ph sensor scaffold for mapping spatiotemporal gradients in three dimensional in vitro tumour models","riccardo rizzo, valentina onesto, stefania forciniti, anil chandra, saumya prasad, helena iuele, francesco colella, giuseppe gigli, loretta l. del mercato","biological physics","the detection of extracellular ph at single cell resolution is challenging and requires advanced sensibility. sensing ph at a high spatial and temporal resolution might provide crucial information in understanding the role of ph and its fluctuations in a wide range of physio-pathological cellular processes, including cancer. here, a method to embed silica-based fluorescent ph sensors into alginate-based three-dimensional (3d) microgels tumour models, coupled with a computational method for fine data analysis, is presented. by means of confocal laser scanning microscopy, live-cell time-lapse imaging of 3d alginate microgels was performed and the extracellular ph metabolic variations were monitored in both in vitro 3d mono- and 3d co-cultures of tumour and stromal pancreatic cells. the results show that the extracellular ph is cell line-specific and time-dependent. moreover, differences in ph were also detected between 3d monocultures versus 3d co-cultures, thus suggesting the existence of a metabolic crosstalk between tumour and stromal cells. in conclusion, the system has the potential to image multiple live cells types in a 3d environment and to decipher in real-time their ph metabolic interplay under controlled experimental conditions, thus being also a suitable platform for drug screening and personalized medicine.",2024-03-05
"30","a genome-scale deep learning model to predict gene expression changes of genetic perturbations from multiplex biological networks","lingmin zhan, yuanyuan zhang, yingdong wang, aoyi wang, caiping cheng, jinzhong zhao, wuxia zhang, peng lia, jianxin chen","genomics","systematic characterization of biological effects to genetic perturbation is essential to the application of molecular biology and biomedicine. however, the experimental exhaustion of genetic perturbations on the genome-wide scale is challenging. here, we show that transcriptionnet, a deep learning model that integrates multiple biological networks to systematically predict transcriptional profiles to three types of genetic perturbations based on transcriptional profiles induced by genetic perturbations in the l1000 project: rna interference (rnai), clustered regularly interspaced short palindromic repeat (crispr) and overexpression (oe). transcriptionnet performs better than existing approaches in predicting inducible gene expression changes for all three types of genetic perturbations. transcriptionnet can predict transcriptional profiles for all genes in existing biological networks and increases perturbational gene expression changes for each type of genetic perturbation from a few thousand to 26,945 genes. transcriptionnet demonstrates strong generalization ability when comparing predicted and true gene expression changes on different external tasks. overall, transcriptionnet can systemically predict transcriptional consequences induced by perturbing genes on a genome-wide scale and thus holds promise to systemically detect gene function and enhance drug development and target discovery.",2024-03-05
