"","title","author","subject","abstract","meta"
"11","3M-Diffusion: Latent Multi-Modal Diffusion for Text-Guided Generation of Molecular Graphs","Huaisheng Zhu, Teng Xiao, Vasant G Honavar","Machine Learning (cs.LG)","Generating molecules with desired properties is a critical task with broad applications in drug discovery and materials design. Inspired by recent advances in large language models, there is a growing interest in using natural language descriptions of molecules to generate molecules with the desired properties. Most existing methods focus on generating molecules that precisely match the text description. However, practical applications call for methods that generate diverse, and ideally novel, molecules with the desired properties. We propose 3M-Diffusion, a novel multi-modal molecular graph generation method, to address this challenge. 3M-Diffusion first encodes molecular graphs into a graph latent space aligned with text descriptions. It then reconstructs the molecular structure and atomic attributes based on the given text descriptions using the molecule decoder. It then learns a probabilistic mapping from the text space to the latent molecular graph space using a diffusion model. The results of our extensive experiments on several datasets demonstrate that 3M-Diffusion can generate high-quality, novel and diverse molecular graphs that semantically match the textual description provided.","Mon, 11 Mar 2024 21:44:54 UTC (985 KB)"
"12","Membrane Interactions in Alzheimer`s Treatment Strategies with Multitarget Molecules","Pablo Zambrano","Biomolecules (q-bio.BM)","Addressing Alzheimer's disease (AD) requires innovative strategies beyond current single-target drugs. This Letter to the Editor suggests that multitarget molecules, especially those targeting neuronal membrane protection, could offer a comprehensive approach to AD therapy, advocating for further research into their mechanisms and therapeutic potential.","Sun, 10 Mar 2024 22:34:25 UTC (224 KB)"
"13","PROTEST: Nonparametric Testing of Hypotheses Enhanced by Experts' Utility Judgements","Rodrigo F. L. Lassance, Rafael Izbicki, Rafael B. Stern","Methodology (stat.ME)","Instead of testing solely a precise hypothesis, it is often useful to enlarge it with alternatives that are deemed to differ from it negligibly. For instance, in a bioequivalence study one might consider the hypothesis that the concentration of an ingredient is exactly the same in two drugs. In such a context, it might be more relevant to test the enlarged hypothesis that the difference in concentration between the drugs is of no practical significance. While this concept is not alien to Bayesian statistics, applications remain confined to parametric settings and strategies on how to effectively harness experts' intuitions are often scarce or nonexistent. To resolve both issues, we introduce PROTEST, an accessible nonparametric testing framework that seamlessly integrates with Markov Chain Monte Carlo (MCMC) methods. We develop expanded versions of the model adherence, goodness-of-fit, quantile and two-sample tests. To demonstrate how PROTEST operates, we make use of examples, simulated studies - such as testing link functions in a binary regression setting, as well as a comparison between the performance of PROTEST and the PTtest (Holmes et al., 2015) - and an application with data on neuron spikes. Furthermore, we address the crucial issue of selecting the threshold - which controls how much a hypothesis is to be expanded - even when intuitions are limited or challenging to quantify.","Fri, 8 Mar 2024 20:09:33 UTC (2,329 KB)"
"14","Advances of Deep Learning in Protein Science: A Comprehensive Survey","Bozhen Hu, Cheng Tan, Lirong Wu, Jiangbin Zheng, Jun Xia, Zhangyang Gao, Zicheng Liu, Fandi Wu, Guijun Zhang, Stan Z. Li","Biomolecules (q-bio.BM)","Protein representation learning plays a crucial role in understanding the structure and function of proteins, which are essential biomolecules involved in various biological processes. In recent years, deep learning has emerged as a powerful tool for protein modeling due to its ability to learn complex patterns and representations from large-scale protein data. This comprehensive survey aims to provide an overview of the recent advances in deep learning techniques applied to protein science. The survey begins by introducing the developments of deep learning based protein models and emphasizes the importance of protein representation learning in drug discovery, protein engineering, and function annotation. It then delves into the fundamentals of deep learning, including convolutional neural networks, recurrent neural networks, attention models, and graph neural networks in modeling protein sequences, structures, and functions, and explores how these techniques can be used to extract meaningful features and capture intricate relationships within protein data. Next, the survey presents various applications of deep learning in the field of proteins, including protein structure prediction, protein-protein interaction prediction, protein function prediction, etc. Furthermore, it highlights the challenges and limitations of these deep learning techniques and also discusses potential solutions and future directions for overcoming these challenges. This comprehensive survey provides a valuable resource for researchers and practitioners in the field of proteins who are interested in harnessing the power of deep learning techniques. By consolidating the latest advancements and discussing potential avenues for improvement, this review contributes to the ongoing progress in protein research and paves the way for future breakthroughs in the field.","Fri, 8 Mar 2024 13:45:32 UTC (4,315 KB)"
"15","Predicting Single-cell Drug Sensitivity by Adaptive Weighted Feature for Adversarial Multi-source Domain Adaptation","Wei Duan, Hui Liu","Artificial Intelligence (cs.AI)","The development of single-cell sequencing technology had promoted the generation of a large amount of single-cell transcriptional profiles, providing valuable opportunities to explore drug-resistant cell subpopulations in a tumor. However, the drug sensitivity data in single-cell level is still scarce to date, pressing an urgent and highly challenging task for computational prediction of the drug sensitivity to individual cells. This paper proposed scAdaDrug, a multi-source adaptive weighting model to predict single-cell drug sensitivity. We used an autoencoder to extract domain-invariant features related to drug sensitivity from multiple source domains by exploiting adversarial domain adaptation. Especially, we introduced an adaptive weight generator to produce importance-aware and mutual independent weights, which could adaptively modulate the embedding of each sample in dimension-level for both source and target domains. Extensive experimental results showed that our model achieved state-of-the-art performance in predicting drug sensitivity on sinle-cell datasets, as well as on cell line and patient datasets.","Fri, 8 Mar 2024 12:31:03 UTC (7,116 KB)"
"16","Cell reprogramming design by transfer learning of functional transcriptional networks","Thomas P. Wytock, Adilson E. Motter","Molecular Networks (q-bio.MN)","Recent developments in synthetic biology, next-generation sequencing, and machine learning provide an unprecedented opportunity to rationally design new disease treatments based on measured responses to gene perturbations and drugs to reprogram cells. The main challenges to seizing this opportunity are the incomplete knowledge of the cellular network and the combinatorial explosion of possible interventions, both of which are insurmountable by experiments. To address these challenges, we develop a transfer learning approach to control cell behavior that is pre-trained on transcriptomic data associated with human cell fates, thereby generating a model of the network dynamics that can be transferred to specific reprogramming goals. The approach combines transcriptional responses to gene perturbations to minimize the difference between a given pair of initial and target transcriptional states. We demonstrate our approach's versatility by applying it to a microarray dataset comprising >9,000 microarrays across 54 cell types and 227 unique perturbations, and an RNASeq dataset consisting of >10,000 sequencing runs across 36 cell types and 138 perturbations. Our approach reproduces known reprogramming protocols with an AUROC of 0.91 while innovating over existing methods by pre-training an adaptable model that can be tailored to specific reprogramming transitions. We show that the number of gene perturbations required to steer from one fate to another increases with decreasing developmental relatedness and that fewer genes are needed to progress along developmental paths than to regress. These findings establish a proof-of-concept for our approach to computationally design control strategies and provide insights into how gene regulatory networks govern phenotype.","Thu, 7 Mar 2024 19:00:02 UTC (9,998 KB)"
"17","GNN-VPA: A Variance-Preserving Aggregation Strategy for Graph Neural Networks","Lisa Schneckenreiter, Richard Freinschlag, Florian Sestak, Johannes Brandstetter, Günter Klambauer, Andreas Mayr","Machine Learning (cs.LG)","Graph neural networks (GNNs), and especially message-passing neural networks, excel in various domains such as physics, drug discovery, and molecular modeling. The expressivity of GNNs with respect to their ability to discriminate non-isomorphic graphs critically depends on the functions employed for message aggregation and graph-level readout. By applying signal propagation theory, we propose a variance-preserving aggregation function (VPA) that maintains expressivity, but yields improved forward and backward dynamics. Experiments demonstrate that VPA leads to increased predictive performance for popular GNN architectures as well as improved learning dynamics. Our results could pave the way towards normalizer-free or self-normalizing GNNs.","Thu, 7 Mar 2024 18:52:27 UTC (182 KB)"
"18","A Magnetic Millirobot Walks on Slippery Biological Surfaces for Targeted Cargo Delivery","Moonkwang Jeong, Xiangzhou Tan, Felix Fischer, Tian Qiu","Robotics (cs.RO)","Small-scale robots hold great potential for targeted cargo delivery in minimally-inv asive medicine. However, current robots often face challenges to locomote efficiently on slip pery biological tissue surfaces, especially when loaded with heavy cargos. Here, we report a magnetic millirobot that can walk on rough and slippery biological tissues by anchoring itself on the soft tissue surface alternatingly with two feet and reciprocally rotating the body to mov e forward. We experimentally studied the locomotion, validated it with numerical simulations and optimized the actuation parameters to fit various terrains and loading conditions. Further more, we developed a permanent magnet set-up to enable wireless actuation within a huma n-scale volume which allows precise control of the millirobot to follow complex trajectories, cl imb vertical walls, and carry cargo up to four times of its own weight. Upon reaching the targ et location, it performs a deployment sequence to release the liquid drug into tissues. The ro bust gait of our millirobot on rough biological terrains, combined with its heavy load capacity, make it a versatile and effective miniaturized vehicle for targeted cargo delivery.","Thu, 7 Mar 2024 13:09:44 UTC (9,156 KB)"
"19","Preference optimization of protein language models as a multi-objective binder design paradigm","Pouria Mistani, Venkatesh Mysore","Biological Physics (physics.bio-ph)","We present a multi-objective binder design paradigm based on instruction fine-tuning and direct preference optimization (DPO) of autoregressive protein language models (pLMs). Multiple design objectives are encoded in the language model through direct optimization on expert curated preference sequence datasets comprising preferred and dispreferred distributions. We show the proposed alignment strategy enables ProtGPT2 to effectively design binders conditioned on specified receptors and a drug developability criterion. Generated binder samples demonstrate median isoelectric point (pI) improvements by $17\%-60\%$.","Thu, 7 Mar 2024 03:36:03 UTC (1,984 KB)"
"20","Stabilizing Policy Gradients for Stochastic Differential Equations via Consistency with Perturbation Process","Xiangxin Zhou, Liang Wang, Yichi Zhou","Machine Learning (cs.LG)","Considering generating samples with high rewards, we focus on optimizing deep neural networks parameterized stochastic differential equations (SDEs), the advanced generative models with high expressiveness, with policy gradient, the leading algorithm in reinforcement learning. Nevertheless, when applying policy gradients to SDEs, since the policy gradient is estimated on a finite set of trajectories, it can be ill-defined, and the policy behavior in data-scarce regions may be uncontrolled. This challenge compromises the stability of policy gradients and negatively impacts sample complexity. To address these issues, we propose constraining the SDE to be consistent with its associated perturbation process. Since the perturbation process covers the entire space and is easy to sample, we can mitigate the aforementioned problems. Our framework offers a general approach allowing for a versatile selection of policy gradient methods to effectively and efficiently train SDEs. We evaluate our algorithm on the task of structure-based drug design and optimize the binding affinity of generated ligand molecules. Our method achieves the best Vina score -9.07 on the CrossDocked2020 dataset.","Thu, 7 Mar 2024 02:24:45 UTC (15,416 KB)"
"21","Inverse resolution of spatially varying diffusion coefficient using Physics-Informed neural networks","Sukirt Thakur, Ehsan Esmaili, Sarah Libring, Luis Solorio, Arezoo M. Ardekani","Quantitative Methods (q-bio.QM)","Resolving the diffusion coefficient is a key element in many biological and engineering systems, including pharmacological drug transport and fluid mechanics analyses. Additionally, these systems often have spatial variation in the diffusion coefficient which must be determined, such as for injectable drug-eluting implants into heterogeneous tissues. Unfortunately, obtaining the diffusion coefficient from images in such cases is an inverse problem with only discrete data points. The development of a robust method that can work with such noisy and ill-posed datasets to accurately determine spatially-varying diffusion coefficients is of great value across a large range of disciplines. Here, we developed an inverse solver that uses physics informed neural networks (PINNs) to calculate spatially-varying diffusion coefficients from numerical and experimental image data in varying biological and engineering applications. The residual of the transient diffusion equation for a concentration field is minimized to find the diffusion coefficient. The robustness of the method as an inverse solver was tested using both numerical and experimental datasets. The predictions show good agreement with both the numerical and experimental benchmarks; an error of less than 6.31% was obtained against all numerical benchmarks, while the diffusion coefficient calculated in experimental datasets matches the appropriate ranges of other reported literature values. Our work demonstrates the potential of using PINNs to resolve spatially-varying diffusion coefficients, which may aid a wide-range of applications, such as enabling better-designed drug-eluting implants for regenerative medicine or oncology fields.","Wed, 6 Mar 2024 18:15:47 UTC (1,494 KB)"
"22","Confidence on the Focal: Conformal Prediction with Selection-Conditional Coverage","Ying Jin, Zhimei Ren","Methodology (stat.ME)","Conformal prediction builds marginally valid prediction intervals which cover the unknown outcome of a randomly drawn new test point with a prescribed probability. In practice, a common scenario is that, after seeing the test unit(s), practitioners decide which test unit(s) to focus on in a data-driven manner, and wish to quantify the uncertainty for the focal unit(s). In such cases, marginally valid prediction intervals for these focal units can be misleading due to selection bias. This paper presents a general framework for constructing a prediction set with finite-sample exact coverage conditional on the unit being selected. Its general form works for arbitrary selection rules, and generalizes Mondrian Conformal Prediction to multiple test units and non-equivariant classifiers. We then work out computationally efficient implementation of our framework for a number of realistic selection rules, including top-K selection, optimization-based selection, selection based on conformal p-values, and selection based on properties of preliminary conformal prediction sets. The performance of our methods is demonstrated via applications in drug discovery and health risk prediction.","Wed, 6 Mar 2024 17:18:24 UTC (724 KB)"
"23","DeepCRE: Revolutionizing Drug R&D with Cutting-Edge Computational Models","Yushuai Wu","Artificial Intelligence (cs.AI)","The fields of pharmaceutical development and therapeutic application both face substantial challenges. The therapeutic domain calls for more treatment alternatives, while numerous promising pre-clinical drugs have failed in clinical trials. One of the reasons is the inadequacy of Cross-drug Response Evaluation (CRE) during the late stage of drug development. Although in-silico CRE models offer a solution to this problem, existing methodologies are either limited to early development stages or lack the capacity for a comprehensive CRE analysis. Herein, we introduce a novel computational model named DeepCRE and present the potential of DeepCRE in advancing therapeutic discovery and development. DeepCRE outperforms the existing best models by achieving an average performance improvement of 17.7\% in patient-level CRE and a 5-fold increase in indication-level CRE. Furthermore, DeepCRE has identified six drug candidates that show significantly greater effectiveness than a comparator set of two approved drugs in 5/8 colorectal cancer (CRC) organoids. This highlights DeepCRE's ability to identify a collection of drug candidates with superior therapeutic effects, underscoring its potential to revolutionize the field of therapeutic development.","Wed, 6 Mar 2024 15:03:09 UTC (19,588 KB)[v2] Sat, 9 Mar 2024 15:01:52 UTC (19,589 KB)"
"24","Sculpting Molecules in 3D: A Flexible Substructure Aware Framework for Text-Oriented Molecular Optimization","Kaiwei Zhang, Yange Lin, Guangcheng Wu, Yuxiang Ren, Xuecang Zhang, Bo wang, Xiaoyu Zhang, Weitao Du","Machine Learning (cs.LG)","The integration of deep learning, particularly AI-Generated Content, with high-quality data derived from ab initio calculations has emerged as a promising avenue for transforming the landscape of scientific research. However, the challenge of designing molecular drugs or materials that incorporate multi-modality prior knowledge remains a critical and complex undertaking. Specifically, achieving a practical molecular design necessitates not only meeting the diversity requirements but also addressing structural and textural constraints with various symmetries outlined by domain experts. In this article, we present an innovative approach to tackle this inverse design problem by formulating it as a multi-modality guidance generation/optimization task. Our proposed solution involves a textural-structure alignment symmetric diffusion framework for the implementation of molecular generation/optimization tasks, namely 3DToMolo. 3DToMolo aims to harmonize diverse modalities, aligning them seamlessly to produce molecular structures adhere to specified symmetric structural and textural constraints by experts in the field. Experimental trials across three guidance generation settings have shown a superior hit generation performance compared to state-of-the-art methodologies. Moreover, 3DToMolo demonstrates the capability to generate novel molecules, incorporating specified target substructures, without the need for prior knowledge. This work not only holds general significance for the advancement of deep learning methodologies but also paves the way for a transformative shift in molecular design strategies. 3DToMolo creates opportunities for a more nuanced and effective exploration of the vast chemical space, opening new frontiers in the development of molecular entities with tailored properties and functionalities.","Wed, 6 Mar 2024 03:15:25 UTC (5,177 KB)"
"25","Curso introductorio de cristales líquidos I: fases y propiedades estructurales (Introductory Course on Liquid Crystals I: Phases and Structural Properties)","Humberto Híjar","Soft Condensed Matter (cond-mat.soft)","Liquid crystals are the prototype of the so-called soft condensed matter. In simple terms they are ""structured liquids"" that historically have received a lot of interest because they help to generate new concepts and knowledge in Physics, and possess important electro--optical applications, e. g., in displays of mobile computers and telephones. More recently, it has been discovered that liquid crystals could be applied in fabrication of metamaterials and in biomedicine where they are potentially useful for tissue identification, controlled drug delivery and detection of bacteria and viruses. However, in Mexico, liquid crystals courses are included only in a few undergraduate programs on Physics being elective in most of the cases. Therefore, literature for teaching about liquid crystals in Spanish is scarce. In this paper we will discuss about elementary Physics of liquid crystals and the mathematical tools that permit to analyze them. We will explain, mainly, how to analytically characterize the symmetry and order of static uniaxial nematic liquid crystals, the most simple of all liquid crystal phases. We will conduct this explanation in basic terms, suitable for science and engineering students at intermediate undergraduate level, with knowledge about linear algebra and vector calculus, willing to approach for the first time to this subject. Our goal is to support the Latin American scientific community in preparing human resources in this field. The article is written in Spanish to contribute to the establishment and communication of concepts that only exist in other languages in the specialized literature.","Tue, 5 Mar 2024 23:20:14 UTC (5,153 KB)[v2] Fri, 8 Mar 2024 00:20:34 UTC (5,153 KB)"
"26","From virtual patients to digital twins in immuno-oncology: lessons learned from mechanistic quantitative systems pharmacology modeling","Hanwen Wang (1), Theinmozhi Arulraj (1), Alberto Ippolito (1), Aleksander S. Popel (1 and 2) ((1) Department of Biomedical Engineering, Johns Hopkins University School of Medicine, Baltimore, MD, USA, (2) Departments of Medicine and Oncology, and the Sidney Kimmel Comprehensive Cancer Center, Johns Hopkins University School of Medicine, Baltimore, MD, USA)","Other Quantitative Biology (q-bio.OT)","Virtual patients and digital patients/twins are two similar concepts gaining increasing attention in health care with goals to accelerate drug development and improve patients' survival, but with their own limitations. Although methods have been proposed to generate virtual patient populations using mechanistic models, there are limited number of applications in immuno-oncology research. Furthermore, due to the stricter requirements of digital twins, they are often generated in a study-specific manner with models customized to particular clinical settings (e.g., treatment, cancer, and data types). Here, we discuss the challenges for virtual patient generation in immuno-oncology with our most recent experiences, initiatives to develop digital twins, and how research on these two concepts can inform each other.","Tue, 5 Mar 2024 21:38:05 UTC (548 KB)"
"27","VQSynery: Robust Drug Synergy Prediction With Vector Quantization Mechanism","Jiawei Wu, Mingyuan Yan, Dianbo Liu","Quantitative Methods (q-bio.QM)","The pursuit of optimizing cancer therapies is significantly advanced by the accurate prediction of drug synergy. Traditional methods, such as clinical trials, are reliable yet encumbered by extensive time and financial demands. The emergence of high-throughput screening and computational innovations has heralded a shift towards more efficient methodologies for exploring drug interactions. In this study, we present VQSynergy, a novel framework that employs the Vector Quantization (VQ) mechanism, integrated with gated residuals and a tailored attention mechanism, to enhance the precision and generalizability of drug synergy predictions. Our findings demonstrate that VQSynergy surpasses existing models in terms of robustness, particularly under Gaussian noise conditions, highlighting its superior performance and utility in the complex and often noisy domain of drug synergy research. This study underscores the potential of VQSynergy in revolutionizing the field through its advanced predictive capabilities, thereby contributing to the optimization of cancer treatment strategies.","Tue, 5 Mar 2024 16:21:53 UTC (612 KB)"
